idx,x,y
118,291790.7724382931,2558072.154060463
119,291760.7796070677,2558072.154060463
120,291730.7672492595,2558072.154060463
121,291700.7744180341,2558072.154060463
122,291670.78158680873,2558072.154060463
123,291655.1505572541,2558058.1946366737
124,292317.58987972874,2558029.7594949836
125,292300.76772862155,2558042.1505536437
126,292270.7748973962,2558042.1505536437
127,292240.7820661708,2558042.1505536437
128,292210.7697083626,2558042.1505536437
129,292180.77687713725,2558042.1505536437
130,292150.764519329,2558042.1505536437
131,292120.7716881036,2558042.1505536437
132,292090.7788568782,2558042.1505536437
133,292060.76649907004,2558042.1505536437
134,292030.77366784465,2558042.1505536437
135,292000.78083661926,2558042.1505536437
136,291970.768478811,2558042.1505536437
137,291940.7756475857,2558042.1505536437
138,291910.7730530689,2558042.1505536437
139,291880.77045855206,2558042.1505536437
140,291850.77762732666,2558042.1505536437
141,291820.7652695185,2558042.1505536437
142,291790.7724382931,2558042.1505536437
143,291760.7796070677,2558042.1505536437
144,291730.7672492595,2558042.1505536437
145,291700.7744180341,2558042.1505536437
146,291670.78158680873,2558042.1505536437
147,291646.28548864974,2558042.1505536437
148,292326.6990306185,2558012.1470468245
149,292300.76772862155,2558012.1470468245
150,292270.7748973962,2558012.1470468245
151,292240.7820661708,2558012.1470468245
152,292210.7697083626,2558012.1470468245
153,292180.77687713725,2558012.1470468245
154,292150.764519329,2558012.1470468245
155,292120.7716881036,2558012.1470468245
156,292090.7788568782,2558012.1470468245
157,292060.76649907004,2558012.1470468245
158,292030.77366784465,2558012.1470468245
159,292000.78083661926,2558012.1470468245
160,291970.768478811,2558012.1470468245
161,291940.7756475857,2558012.1470468245
162,291910.7730530689,2558012.1470468245
163,291880.77045855206,2558012.1470468245
164,291850.77762732666,2558012.1470468245
165,291820.7652695185,2558012.1470468245
166,291790.7724382931,2558012.1470468245
167,291760.7796070677,2558012.1470468245
168,291730.7672492595,2558012.1470468245
169,291700.7744180341,2558012.1470468245
170,291670.78158680873,2558012.1470468245
171,291640.76922900055,2558012.1470468245
172,291622.4142411413,2558002.8245286345
173,292324.9806913296,2557987.160360139
174,292300.76772862155,2557982.1532814037
175,292270.7748973962,2557982.1532814037
176,292240.7820661708,2557982.1532814037
177,292210.7697083626,2557982.1532814037
178,292180.77687713725,2557982.1532814037
179,292150.764519329,2557982.1532814037
180,292120.7716881036,2557982.1532814037
181,292090.7788568782,2557982.1532814037
182,292060.76649907004,2557982.1532814037
183,292030.77366784465,2557982.1532814037
184,292000.78083661926,2557982.1532814037
185,291970.768478811,2557982.1532814037
186,291940.7756475857,2557982.1532814037
187,291910.7730530689,2557982.1532814037
188,291880.77045855206,2557982.1532814037
189,291850.77762732666,2557982.1532814037
190,291820.7652695185,2557982.1532814037
191,291790.7724382931,2557982.1532814037
192,291760.7796070677,2557982.1532814037
193,291730.7672492595,2557982.1532814037
194,291700.7744180341,2557982.1532814037
195,291670.78158680873,2557982.1532814037
196,291640.76922900055,2557982.1532814037
197,291613.5491725369,2557982.1532814037
198,292296.1496917825,2557955.88073014
199,292270.7748973962,2557952.149774584
200,292240.7820661708,2557952.149774584
201,292210.7697083626,2557952.149774584
202,292180.77687713725,2557952.149774584
203,292150.764519329,2557952.149774584
204,292120.7716881036,2557952.149774584
205,292090.7788568782,2557952.149774584
206,292060.76649907004,2557952.149774584
207,292030.77366784465,2557952.149774584
208,292000.78083661926,2557952.149774584
209,291970.768478811,2557952.149774584
210,291940.7756475857,2557952.149774584
211,291910.7730530689,2557952.149774584
212,291880.77045855206,2557952.149774584
213,291850.77762732666,2557952.149774584
214,291820.7652695185,2557952.149774584
215,291790.7724382931,2557952.149774584
216,291760.7796070677,2557952.149774584
217,291730.7672492595,2557952.149774584
218,291700.7744180341,2557952.149774584
219,291670.78158680873,2557952.149774584
220,291640.76922900055,2557952.149774584
221,291610.77639777516,2557952.149774584
222,291589.6876883198,2557947.454420595
223,292267.3382188183,2557924.601100141
224,292240.7820661708,2557922.146267765
225,292210.7697083626,2557922.146267765
226,292180.77687713725,2557922.146267765
227,292150.764519329,2557922.146267765
228,292120.7716881036,2557922.146267765
229,292090.7788568782,2557922.146267765
230,292060.76649907004,2557922.146267765
231,292030.77366784465,2557922.146267765
232,292000.78083661926,2557922.146267765
233,291970.768478811,2557922.146267765
234,291940.7756475857,2557922.146267765
235,291910.7730530689,2557922.146267765
236,291880.77045855206,2557922.146267765
237,291850.77762732666,2557922.146267765
238,291820.7652695185,2557922.146267765
239,291790.7724382931,2557922.146267765
240,291760.7796070677,2557922.146267765
241,291730.7672492595,2557922.146267765
242,291700.7744180341,2557922.146267765
243,291670.78158680873,2557922.146267765
244,291640.76922900055,2557922.146267765
245,291610.77639777516,2557922.146267765
246,291580.812856424,2557922.146267765
247,292238.5169825626,2557893.331211541
248,292210.7697083626,2557892.1525023445
249,292180.77687713725,2557892.1525023445
250,292150.764519329,2557892.1525023445
251,292120.7716881036,2557892.1525023445
252,292090.7788568782,2557892.1525023445
253,292060.76649907004,2557892.1525023445
254,292030.77366784465,2557892.1525023445
255,292000.78083661926,2557892.1525023445
256,291970.768478811,2557892.1525023445
257,291940.7756475857,2557892.1525023445
258,291910.7730530689,2557892.1525023445
259,291880.77045855206,2557892.1525023445
260,291850.77762732666,2557892.1525023445
