obs,pred
-999.0,4.999
-999.0,5.566
-999.0,6.049
-999.0,5.664
-999.0,5.507
-999.0,5.339
1.987,4.618
1.987,5.378
0.23,4.396
0.23,5.056
-999.0,4.545
-999.0,-999.0
-999.0,-999.0
-999.0,-999.0
-999.0,-999.0
-999.0,-999.0
6.703,5.276
-999.0,4.962
-999.0,5.259
-999.0,5.383
-999.0,5.509
3.344,5.225
-999.0,5.507
-999.0,5.514
1.993,5.499
4.004,5.47
1.987,5.259
1.987,5.333
-999.0,5.385
-999.0,-999.0
-999.0,-999.0
-999.0,-999.0
-999.0,-999.0
-999.0,-999.0
-999.0,-999.0
-999.0,5.576
1.51,5.436
4.417,4.464
4.21,4.634
5.062,4.483
-999.0,5.204
3.523,5.43
3.929,5.741
3.344,5.233
3.299,5.458
-999.0,5.515
2.616,5.34
-999.0,5.269
-999.0,5.156
-999.0,4.765
-999.0,-999.0
-999.0,-999.0
-999.0,-999.0
-999.0,-999.0
-999.0,-999.0
-999.0,-999.0
-999.0,5.549
1.51,5.614
4.21,5.107
-999.0,4.048
5.136,5.166
-999.0,4.679
-999.0,5.121
-999.0,5.484
-999.0,5.744
-999.0,5.65
3.786,5.174
2.845,5.243
3.428,5.444
3.884,5.119
-999.0,-999.0
-999.0,-999.0
-999.0,-999.0
-999.0,-999.0
-999.0,-999.0
-999.0,-999.0
-999.0,5.676
1.291,5.709
0.962,5.804
-999.0,-999.0
3.715,4.603
4.724,5.015
4.847,4.666
-999.0,5.008
-999.0,5.216
-999.0,5.214
4.206,5.761
4.206,5.528
3.615,5.249
4.217,5.444
-999.0,5.196
-999.0,-999.0
-999.0,-999.0
-999.0,-999.0
-999.0,-999.0
-999.0,-999.0
-999.0,5.598
1.291,5.689
-999.0,5.549
2.531,5.593
-999.0,6.088
-999.0,-999.0
-999.0,3.881
4.323,4.711
-999.0,4.512
-999.0,4.613
-999.0,5.616
4.001,5.43
3.079,5.335
2.97,5.288
2.97,5.649
2.851,5.407
-999.0,5.32
3.168,5.074
-999.0,-999.0
-999.0,-999.0
-999.0,5.525
-999.0,5.527
1.291,5.498
-999.0,5.51
2.768,5.45
2.599,5.472
2.818,4.383
3.459,5.026
-999.0,4.704
-999.0,5.432
4.034,5.259
4.034,5.252
-999.0,5.403
4.129,4.96
3.24,5.107
3.24,5.097
-999.0,5.143
-999.0,-999.0
-999.0,-999.0
-999.0,5.549
-999.0,4.414
-999.0,5.641
-999.0,5.484
2.768,5.136
1.149,5.427
1.478,5.217
-999.0,5.329
3.39,5.208
3.39,4.944
-999.0,4.943
-999.0,5.519
-999.0,4.804
4.129,4.91
3.035,4.947
-999.0,4.651
-999.0,5.39
-999.0,4.624
-999.0,-999.0
-999.0,-999.0
-999.0,5.571
1.256,5.829
1.256,5.346
-999.0,4.925
-999.0,5.457
-999.0,4.847
2.247,4.997
-999.0,4.76
-999.0,4.547
-999.0,5.519
-999.0,5.222
-999.0,5.457
-999.0,-999.0
2.897,5.25
2.897,5.206
-999.0,-999.0
1.283,5.498
-999.0,5.04
-999.0,5.529
-999.0,5.281
-999.0,5.527
-999.0,5.489
2.247,4.849
-999.0,5.213
-999.0,4.677
-999.0,4.954
-999.0,5.375
2.683,5.473
2.992,5.662
-999.0,5.289
-999.0,5.287
3.217,4.731
-999.0,4.908
-999.0,-999.0
1.283,5.193
1.283,4.555
-999.0,-999.0
-999.0,4.721
-999.0,4.475
-999.0,5.198
-999.0,5.254
1.002,5.294
2.247,-999.0
-999.0,4.464
-999.0,4.767
-999.0,5.149
-999.0,5.109
4.807,4.958
4.277,5.58
-999.0,5.279
-999.0,5.184
2.659,5.079
1.418,5.087
-999.0,5.844
-999.0,4.546
-999.0,4.865
-999.0,-999.0
-999.0,-999.0
-999.0,4.995
-999.0,5.249
-999.0,5.229
-999.0,5.658
-999.0,4.445
-999.0,5.322
-999.0,4.756
2.491,4.47
-999.0,5.09
3.832,5.226
-999.0,5.63
-999.0,5.206
3.92,5.17
-999.0,5.189
-999.0,5.689
1.125,5.471
-999.0,3.918
-999.0,4.768
-999.0,4.638
-999.0,5.558
-999.0,5.5
-999.0,5.175
-999.0,5.414
2.278,5.337
-999.0,4.131
3.642,4.086
-999.0,4.824
-999.0,5.59
-999.0,5.418
3.274,5.382
-999.0,4.224
3.92,4.728
-999.0,5.492
-999.0,5.225
1.125,5.557
1.125,5.093
-999.0,5.117
-999.0,4.35
0.999,5.231
2.204,5.339
-999.0,5.25
-999.0,5.305
-999.0,5.158
1.317,-999.0
